Airport Code,Airport Name,City Name,coordinates
229,AEX,Alexandria International,"Alexandria, LA","31.3275, -92.548611"
230,AAP,Andrau Airpark,"Houston, TX","29.723889, -95.588333"
231,FRD,Friday Harbor,Friday Harbor,"48.521944, -123.024444"
232,GDH,Golden Horn Lodge SPB,"Golden Horn Lodge, Alaska","59.746944, -158.874722"
233,EFK,Newport,Newport,"44.883333, -72.233333"
234,CTY,Cross City,Cross City,"29.65, -83.116667"
235,AGC,Allegheny County,Pittsburgh,"40.35, -79.933333"
236,BDL,Bradley International,"Windsor Locks, CT","41.938889, -72.683333"
237,FKL,Chess-Lambertin,Franklin,"41.383333, -79.866667"
238,HUJ,Hugo,Hugo,"34.016667, -95.516667"
239,JEF,Memorial,"Jefferson City, MO","38.591111, -92.039444"
240,MWH,Grant County,Moses Lake,"47.095, -119.261389"
241,PAE,Snohomish County,Everett,"47.919444, -122.283611"
242,TSP,Kern County,"Tehachapi, CA","35.135, -118.439167"
243,LKK,Kulik Lake,Kulik Lake,"58.966667, -155.083333"
244,HHI,Wheeler AFB,Wahiawa,"13.966667, -4.433333"
245,EKN,Elkins,Elkins,"38.883333, -79.85"
246,APC,Napa County,Napa,"38.45, -122.216667"
247,BDF,Rinkenberger,Bradford,"41.183333, -89.65"
248,NKV,Nichen Cove,"Nichen Cove, AK","55.849722, -133.227778"
249,OXR,Ventura,Ventura,"34.2, -119.2"
250,OBE,County,Okeechobee,"27.25, -80.833333"
251,IND,Indianapolis International,"Indianapolis, IN","39.717222, -86.294722"
252,TRX,Memorial,Trenton,"44.1, -77.583333"
253,KOZ,Ouzinkie SPB,Ouzinkie,"57.916667, -152.483333"
254,SAG,Sagwon,Sagwon,"69.366667, -148.7"
255,CRS,Corsicana,Corsicana,"32.1, -96.466667"
256,VLD,Regional,Valdosta,"30.783333, -83.283333"
257,CIR,Cairo,Cairo,"4.666667, -76.016667"
258,CRP,Corpus Christi International Airport,"Corpus Christi, TX","27.770278, -97.501111"
259,SIV,County,Sullivan,"39.1, -87.4"
260,FBY,Municipal,Fairbury,"40.133333, -97.183333"
261,PAK,Port Allen,Hanapepe,"21.916667, -159.583333"
262,RWL,Rawlins,Rawlins,"41.8, -107.2"
263,EKO,Elko Regional,"Elko, NV","40.825, -115.791667"
264,FNK,Fin Creek,Fin Creek,"69.5, -147.583333"
265,PBF,Grider Field,Pine Bluff,"34.183333, -91.933333"
266,EDE,Municipal,Edenton,"36.066667, -76.65"
267,PCU,Pearl River County,Picayune,"30.516666999999998, -89.705556"
268,HWD,Air Terminal,Hayward,"37.666667, -122.083333"
269,JNU,Boundary Bay,Juneau,"58.35, -134.583333"
270,CFT,Morenci,Clifton,"32.95, -109.2"
271,RSH,Russian SPB,Russian Mission,"61.783333, -161.333333"
272,OPL,St Landry Parish,Opelousas,"30.55, -92.1"
273,FLU,Flushing,New York,"5.5, -70.483333"
274,EWD,Wildman Lake,Wildman Lake,"-12.333333, 131.933333"
275,MKT,Municipal,Mankato,"44.15, -93.983333"
276,HDE,Brewster Field,Holdrege,"40.433333, -99.366667"
